Company,Email,Person,Title,Notes
Veles,simon@getveles.com,Team,—,YC Winter 2024 · AI · cold email for opportunity; ask to forward to hiring manager
CodeViz,sales@codeviz.ai,General inbox,—,YC Summer 2024 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Hatchet,contact@hatchet.run,Team,—,YC Winter 2024 · DevTools · cold email for opportunity; ask to forward to hiring manager
Modus,support@himodus.com,General inbox,—,YC Summer 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Hyrex,support@hyrex.io,General inbox,—,YC Summer 2024 · DevTools · cold email for opportunity; ask to forward to hiring manager
Redouble AI,info@redouble.ai,Team,—,YC Summer 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Million,founders@million.dev,Founders,—,YC Winter 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Undermind,support@undermind.ai,General inbox,—,YC Summer 2024 · ML · cold email for opportunity; ask to forward to hiring manager
Nuanced,ayman@nuanced.dev,Team,—,YC Winter 2024 · DevTools · cold email for opportunity; ask to forward to hiring manager
Polymet,info@polymet.ai,Team,—,YC Summer 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Rastro,augustin@rastro.ai,Team,—,YC Summer 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Vortexify,support@vortexify.ai,General inbox,—,YC Fall 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Affil.ai,hello@affil.ai,Team,—,YC Summer 2024 · AI · cold email for opportunity; ask to forward to hiring manager
OpenFoundry,hello@openfoundry.ai,Team,—,YC Winter 2024 · DevTools · cold email for opportunity; ask to forward to hiring manager
AutoPallet Robotics,team@autopallet.bot,Team,—,YC Summer 2024 · ML · cold email for opportunity; ask to forward to hiring manager
HeroUI,junior@heroui.com,Team,—,YC Summer 2024 · DevTools · cold email for opportunity; ask to forward to hiring manager
Linum,hello@linum.ai,Team,—,YC Winter 2023 · AI · cold email for opportunity; ask to forward to hiring manager
Maxi,support@usemaxi.app,General inbox,—,YC Winter 2023 · AI · cold email for opportunity; ask to forward to hiring manager
Relvy AI,hello@relvy.ai,Team,—,YC Fall 2024 · DevTools · cold email for opportunity; ask to forward to hiring manager
Surge,recruiting@surge.app,Hiring Team,—,YC Fall 2024 · DevTools · cold email for opportunity; ask to forward to hiring manager
CombineHealth,info@combinehealth.ai,Team,—,YC Winter 2023 · AI/ML · cold email for opportunity; ask to forward to hiring manager
AgentCollect,careers@agentcollect.com,Hiring Team,—,YC Summer 2023 · AI · cold email for opportunity; ask to forward to hiring manager
Arcimus,hussein@arcimus.com,Team,—,YC Summer 2023 · AI · cold email for opportunity; ask to forward to hiring manager
Reworkd,srijan@reworkd.ai,Team,—,YC Summer 2023 · AI · cold email for opportunity; ask to forward to hiring manager
Versive,support@getversive.com,General inbox,—,YC Winter 2023 · AI · cold email for opportunity; ask to forward to hiring manager
Dialtone,contact@usedialtone.com,Team,—,YC Summer 2023 · AI · cold email for opportunity; ask to forward to hiring manager
Wattson Health,privacy@wattsonhealth.com,Team,—,YC Summer 2023 · AI · cold email for opportunity; ask to forward to hiring manager
Spine AI,support@getspine.ai,General inbox,—,YC Summer 2023 · AI · cold email for opportunity; ask to forward to hiring manager
Terracotta AI,founders@tryterracotta.com,Founders,—,YC Summer 2023 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Slicker,hello@slickerhq.com,Team,—,YC Summer 2023 · AI · cold email for opportunity; ask to forward to hiring manager
Venta AI,info@getventa.ai,Team,—,YC Summer 2023 · AI · cold email for opportunity; ask to forward to hiring manager
Trainy,sales@trainy.ai,General inbox,—,YC Summer 2023 · ML/DevTools · cold email for opportunity; ask to forward to hiring manager
Lightski,founders@lightski.com,Founders,—,YC Winter 2023 · DevTools · cold email for opportunity; ask to forward to hiring manager
Persist AI,info@persist-ai.com,Team,—,YC Winter 2023 · ML · cold email for opportunity; ask to forward to hiring manager
rex.fit,hello@rex.fit,Team,—,YC Winter 2023 · AI · cold email for opportunity; ask to forward to hiring manager
Scanbase,careers@scanbase.com,Hiring Team,—,YC Winter 2023 · ML · cold email for opportunity; ask to forward to hiring manager
Extend,support@extend.ai,General inbox,—,YC Winter 2023 · DevTools · cold email for opportunity; ask to forward to hiring manager
refine,info@refine.dev,Team,—,YC Summer 2023 · DevTools · cold email for opportunity; ask to forward to hiring manager
Metoro,jobs@metoro.io,Hiring Team,—,YC Summer 2023 · DevTools · cold email for opportunity; ask to forward to hiring manager
Skyhook,careers@skyhook.io,Hiring Team,—,YC Winter 2023 · DevTools · cold email for opportunity; ask to forward to hiring manager
Depot,help@depot.dev,Team,—,YC Winter 2023 · DevTools · cold email for opportunity; ask to forward to hiring manager
Conductor Quantum,founders@conductorquantum.com,Founders,—,YC Summer 2024 · AI/ML · hiring · cold email for opportunity; ask to forward to hiring manager
Syntra,support@syntra.com,General inbox,—,YC Summer 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
The Forecasting Company,work@theforecastingcompany.com,Hiring Team,—,YC Summer 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
TaxGPT,support@taxgpt.com,General inbox,—,YC Summer 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Innate,axel@innate.bot,Team,—,YC Fall 2024 · AI/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Elayne,hello@elayne.com,Team,—,YC Summer 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Thunder Compute,support@thundercompute.com,General inbox,—,YC Summer 2024 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
1stCollab,hello@1stcollab.com,Team,—,YC Winter 2023 · AI/ML · hiring · cold email for opportunity; ask to forward to hiring manager
Simbie AI,founders@simbie.ai,Founders,—,YC Summer 2023 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Orbio Earth,info@orbio.earth,Team,—,YC Summer 2023 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Empirical Health,hello@empirical.health,Team,—,YC Summer 2023 · ML · hiring · cold email for opportunity; ask to forward to hiring manager
Ndea,contact@ndea.com,Team,—,YC Winter 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Atlia,founders@atlia.com,Founders,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Zenbu,rob@zenbu.dev,Team,—,YC Spring 2026 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Rapidfolio,careers@rapidfolio.com,Hiring Team,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
ParadeDB,hello@paradedb.com,Team,—,YC Summer 2023 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Kimpton,founders@kimpton.ai,Founders,—,YC Spring 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Kebra,founders@kebra.com,Founders,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Shofo,founders@shofo.ai,Founders,—,YC Winter 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Zaplar,founders@zaplar.com,Founders,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Stratum Industries,founders@stratumindustries.co,Founders,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
DeepReach Inc.,info@deepreach.ai,Team,—,YC Summer 2026 · AI/ML · cold email for opportunity; ask to forward to hiring manager
Agent FM,founders@agentfm.ai,Founders,—,YC Summer 2026 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Vendo,founders@vendo.run,Founders,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Waybill,hello@waybill.to,Team,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Simulithic,hello@simulithic.com,Team,—,YC Fall 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Decawork,founders@decawork.ai,Founders,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Dream,main@pingdream.com,Team,—,YC Summer 2026 · ML · cold email for opportunity; ask to forward to hiring manager
Quantstruct,founders@quantstruct.com,Founders,—,YC Winter 2025 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Codag,michael@codag.ai,Team,—,YC Summer 2026 · DevTools · cold email for opportunity; ask to forward to hiring manager
Inkbox,hello@inkbox.ai,Team,—,YC Summer 2026 · DevTools · cold email for opportunity; ask to forward to hiring manager
Cuckoo Labs,hello@cuckoo.so,Team,—,YC Winter 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Elip AI,gaurav@tryelip.ai,Team,—,YC Winter 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Outlit,hello@outlit.ai,Team,—,YC Winter 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Praxim,contact@praxim.ai,Team,—,YC Winter 2025 · AI · cold email for opportunity; ask to forward to hiring manager
TamLabs,hello@tamlabs.ai,Team,—,YC Winter 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Harbera,founders@harbera.com,Founders,—,YC Winter 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Wavedash,contact@wavedash.com,Team,—,YC Spring 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Stellon Labs,info@stellonlabs.com,Team,—,YC Summer 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Tinfoil,work@tinfoil.sh,Hiring Team,—,YC Spring 2025 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Mimos,rohit@trymimos.com,Team,—,YC Summer 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Knowlify,info@knowlify.com,Team,—,YC Summer 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Monarcha,founders@monarcha.ai,Founders,—,YC Summer 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Human Behavior,founders@humanbehavior.co,Founders,—,YC Spring 2025 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Helonic,founders@helonic.com,Founders,—,YC Fall 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Mixy,hello@usemixy.com,Team,—,YC Fall 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Altur,careers@altur.io,Hiring Team,—,YC Summer 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Anto Biosciences,founders@anto.bio,Founders,—,YC Fall 2025 · AI · cold email for opportunity; ask to forward to hiring manager
CLODO,hello@clodo.ai,Team,—,YC Summer 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Capacitive,contact@capacitive.ai,Team,—,YC Spring 2025 · DevTools · cold email for opportunity; ask to forward to hiring manager
Greptile,support@greptile.com,General inbox,—,YC Winter 2024 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Okibi,hello@okibi.ai,Team,—,YC Summer 2025 · DevTools · cold email for opportunity; ask to forward to hiring manager
Panelytic,founders@panelytic.com,Founders,—,YC Winter 2024 · AI · cold email for opportunity; ask to forward to hiring manager
s2.dev,hi@s2.dev,Team,—,YC Fall 2025 · DevTools · cold email for opportunity; ask to forward to hiring manager
Diana,careers@getdiana.com,Hiring Team,—,YC Winter 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Ångström AI,info@angstrom-ai.com,Team,—,YC Summer 2024 · AI · cold email for opportunity; ask to forward to hiring manager
ZeroPath,founders@zeropath.com,Founders,—,YC Summer 2024 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Riveter,support@riveterhq.com,General inbox,—,YC Fall 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Miru,founders@mirurobotics.com,Founders,—,YC Summer 2024 · DevTools · cold email for opportunity; ask to forward to hiring manager
Ryse,hello@rysemarket.com,Team,—,YC Winter 2024 · ML · cold email for opportunity; ask to forward to hiring manager
Struct,team@struct.ai,Team,—,YC Fall 2024 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
expand.ai,founder@expand.ai,Founders,—,YC Summer 2024 · DevTools · cold email for opportunity; ask to forward to hiring manager
Hippo Scribe,hello@gethipposcribe.com,Team,—,YC Winter 2023 · AI · cold email for opportunity; ask to forward to hiring manager
Webhound,team@webhound.ai,Team,—,YC Summer 2023 · AI · cold email for opportunity; ask to forward to hiring manager
